No,සෙල්ලිපි අංකය,අක්ෂර පරිවර්තනය
217,692,692 [1] ගපති-රෙතශ ලෙණෙ ය
218,693,693 [2] උපශක-ශමුදහ ලෙණෙ ශගශ
219,695,695 [4] උපශක-කචලිය ලෙණෙ
220,700,700 [10] දෙවරකිතශ ච දමතෙරශ ච ලෙණෙ
221,701,701 [1] බත-ශුරිගුතහ ලෙණෙ
222,710,බත-කුමරදතශ ලෙණෙ ශගශ දිනි
223,711,711 ගපති-කුණික-තිශ-පුත උපශක-යහශිය ලෙණෙ
224,712,712 පරුමක-පුලය-පුත පරුමක-උතර-පුත පරුමක-දතශ කුමි ලෙණෙ ච ශගශ දිනෙ
225,714,714 [1] බත-දිනශ ලෙණෙ ශුදශනෙ ශගශ
226,715,715 [2] පුශගුත-තෙරෙන ඛරපිතෙ ලෙණෙ ධශදිශතො ශගශ ඵරිබොගයෙ ධිනෙ
227,716,716 [3] මිතගුත-තෙරශ දනෙ අගත-අනගත ශගශ දිනෙ
228,717,717 [4] බත-දමරකිතෙන කරපිතෙ ශගශ
229,718,718 [5] බත-නගශ ලෙණෙ ශගශ දිනෙ
230,719,719 [1] ගමික-රෙතහ ලෙණෙ ශගශ
231,722,722 [4] පරුමක-දතහ ලෙණෙ ශගශ
232,723,723 පරුමක-දනමිතශ ලෙණෙ
233,726,726 [3] පුගියන ලෙණෙ ශගශ දිනෙ
234,728,728 [5] ශුමනගුතහ ලෙණෙ
235,729,729 [6] ච ලෙ ගණක ........... ච ලෙ තිශහ ච ලෙණෙ
236,730,730 [7] ගමික-තින ලෙණෙ
237,731,731 [8] බත-පුශහ ලෙණෙ චතු-දි[ශ] ශගශ
238,732,732 [9] ශුමන-තෙරහ ච නුගුය-තෙරහ ච ලෙණෙ
239,735,735 [2] පෙළ හා අර්ථය පෙර ලිපිය හා සමාන වෙයි.
240,741,741 [2] ශගශ දිනෙ උපශක-ශුමනශ ලෙණෙ
241,756,756 [1] රඣ-ශිවශ දනෙ වශ-තෙරශ ලෙණෙ
242,765,765 [1] ............. [පු]ත-පුශදෙවශ ලෙණෙ ශගශ
243,772,772 ශගශ පරුමක-පුශ-පුත පරුමක-ශුදෙවහ ලෙණෙ
244,783,783 [2] උපශක-මෙරය-තිශහ ලෙණෙ ශගශ නියතෙ
245,800,800 [1] ගපති-උපශක රකි-පුත-බත-තිශහ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ
246,801,801 [2] පරුමක-රොක-පුත පරුමක-තිශ-පුත පරුමක-ශදීලශ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ
247,804,804 [2] පරුමක-උතර-පුත පරුමක-අනුඩිය ලෙණෙ
248,809,809 [2] දමරකිතශ ලෙණෙ ශගශ
249,814,814 [1] පොචනි-රඣ-නගයහ ඣය බමණ-කොඣර-ඣිතය උපශික-දතය ලෙණෙ
250,816,816 [3] පරුමක-අනුරදශ දනෙ [ශි]ල-පශදෙ ශගයෙ දිනෙ
251,817,817 [4] ඉදශල-ගු[හ] ශගශ
252,824,824 [2] පටල-ශුමනහ ලෙණෙ
253,831,831 [1] පචින-රඣ-පුත-තිශයහ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ දිනෙ
254,844,844 [10] ගහපති-ශතහ ලෙණෙ ශගශ
255,845,845 [11] අනද-තෙරශ ශදිවිහරියන ලෙණෙ
256,847,847 [13] පරුමක-චීරෙචෙ-ශුමනහ ලෙණෙ
257,848,848 [14] පරුම[ක-සො]ණහ ලෙ[ණෙ] ශගශ
258,850,850 [16] දමරකිත-තෙරහ ලෙණෙ ශගශ දිනෙ
259,851,851 [17] බත-දමරකිතහ නව ලෙණකෙ
260,852,852 [18] තිශගුත-තෙරහ ශදිවිහරිය බත-මඣිම-බණක-තිශහ ලෙණෙ ශුදශනෙ අගත-අනගත-චතු-දිශ-ශගශ
261,859,859 [25] නගදතහ
262,861,861 [1] මහතිශහ ලෙණෙ
263,862,862 [2] බත-දමශෙනෙ ලෙණෙ
264,863,863 [3] බත-පුශගුතශ ලෙණෙ
265,864,864 ඣමත-චුඩහ ගපති-පුශහ චුඩහ පුත මහතිශහ ලෙණෙ ශගශ
266,867,867 [1] පරුම[ක] කඩිය පුත ..........
267,868,868 [2] පරුමක-තිරි-පුත-අබිඣිය ලෙණෙ
268,869,869 [3] පරුමක-නගුලිය ලෙණෙ
269,870,870 [4] පරුමක-තිශ-පුත බමදතහ ලෙණෙ
270,872,872[6] උපශක-උතරහ ලෙණෙ
271,875,875 [1] අබහ ච ඣය රුලය ච ලෙ[ණෙ]
272,876,876 [2] බත-තිශහ ලෙණෙ
273,877,877 [3] ශුමනගුත-තෙරහ ලෙණෙ අගත-අනගත-චතු-දිශ-ශගශ
274,878,878 [4] පරුමක-දුටික-තිශහ ලෙණෙ ශගශ
275,880,880 [6] ගමික-වෙල-ඣිත දමය ලෙණෙ ශගශ
276,885,885 [2] අගියහ ලෙණෙ
277,906,906 [1] උපශක-ශිවහ ගපිති-චිතහ
278,914,914 [2] ගමික-ශිව-පුත ගමික-කණතිශහ ලෙණෙ
279,915,915 [3] තිශගුත-තෙරශ ලෙණෙ
280,918,918 [6] බත-පුශහ ලෙණෙ ශගශ
281,922,922 [10] පරුමක-උදයහ නගදතහ ලෙණෙ ශගශ
282,924,924 [12] පරුමක-තිශ-පුත පරුමක-ශොණශ
283,926,926 [14] රොණිගුත-තෙරශ අතිවශික බත-ශොණගුතහ ලෙණෙ
284,927,927 [15] අශ-බුදරකිතශ ලෙණෙ
285,928,928 [16] පරුමක-[චෙ]මහ ලෙණෙ ශගශ
286,929,929 [17] උපශක-ශොණහ ලෙණෙ
287,930,930 [18] බත-ගුතහ ලෙණෙ ශගශ
288,931,931 [19] පරුමක-ශුමන-පුත බත-උතරිහ
289,958,958 උතියහ අයක පරුමක-නග-කුලහ ලෙණෙ ශගශ
290,980,980 [1] ගමික-කුබිලිය ලෙණෙ අගත-අනගත චතු-දි[ශ]-ශගශ
291,989,989 [3] බරත-සුඣත-කරිත-ලෙණනි
292,991,991 [5] අචිරිය-කණගුතශ ලෙණෙ
293,997,997 [4] [මි]නමතහ ලෙණෙ
294,1008,1008 [15] පරුමක-තිශ-පුත පරුමක-නගහ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ
295,1017,1017 [24] කණිකණටිය-ගමික-තිශ-පුත ගමික-දරක-තිශහ ලෙණෙ අගත-අනගත චතු-දිශ-ශගශ
296,1027,1027 [10] දෙවනපිය-මහරඣ ගමණි-අබයශ පුත තිශයශ ලෙණෙ තිපණගහෙ අගත-අනගත-චතු-දිසික-ශඝශ (සංකේත අංක 2 සහ 6 පෙළට පහළින් දක්වා ඇත).
297,1028,1028 [11] මහරඣහ පුත තිශයහ බරියන ලෙණෙ සවතොභදෙ අගත-අනගත-චතු-දිශික-ශඝශ
298,1029,1029 [12] පරුමක-දතහ ලෙණෙ දෙවරමණ ශගශ
299,1030,1030 [13] පරුමක තිශ ...........
300,1031,1031 උපශක-ශුමනහ ලෙණෙ පටිබනකුටෙ ශගශ
301,1035,1035 [1] මහරඣහ පණිත-බඩකරික පරුමක-ශුමනහ
302,1037,1037 [3] බම-නගර-බොඣික පරුමක-රොණහ ලෙණෙ
303,1038,1038 [4] ගපති-මුල-පුතහ උපශක-ශොණහ ලෙණෙ
304,1039,1039 [5] උපශක-මහනගහ ච උපශක-තිශහ ච ලෙ[ණෙ].
305,1041,1041 [7] ගමික-මඣිමහ පුත ගමික-මිතහ ලෙණෙ
306,1060,1060 [2] මහරඣශ දෙවනපියහ අචිරිය බමණ-ගොබුතිය ලෙණෙ
